id,date,lon,lat,area,length,weight,age,sex,maturity,stomach.volume,stomach.weight,year
19211,2005-07-23T16:00:00Z,-14.2108333333333,65.7766666666667,North,564,NA,5.2,Female,immature,12,3.57,2005
19212,2005-07-24T11:00:00Z,-13.3398333333333,65.1436666666667,North,737,NA,10.8,Female,immature,50,23.786,2005
19213,2005-08-04T14:00:00Z,-16.5455,63.731,South,860,NA,29.6,Female,pregnant,100,72.525,2005
20014,2005-07-06T11:00:00Z,-22.711,66.0658333333333,North,752,NA,10.8,Female,pregnant,82,29.42,2005
20016,2005-07-07T17:00:00Z,-23.515,66.28,North,764,NA,18.6,Male,pubertal,50,40.947,2005
20017,2005-07-11T10:00:00Z,-20.9318333333333,66.728,North,708,NA,7.4,Male,mature,12,0.561,2005
20018,2005-07-13T13:00:00Z,-20.4136666666667,66.1935,North,599,NA,10.9,Female,immature,20,1.733,2005
20251,2005-07-21T09:00:00Z,-16.7041666666667,66.3221666666667,North,730,NA,8,Female,immature,30,0,2005
20252,2005-07-22T19:00:00Z,-16.0453333333333,66.6008333333333,North,682,NA,11.1,Female,immature,33,4.681,2005
20253,2005-08-08T17:00:00Z,-18.435,66.502,North,725,NA,10.8,Female,immature,3,1.265,2005
20254,2005-08-10T16:00:00Z,-16.7856666666667,66.364,North,474,NA,3.4,Male,immature,20,15.415,2005
20255,2005-08-17T06:00:00Z,-21.5476666666667,65.6775,North,871,NA,10.5,Female,pregnant,47,4.96,2005
20258,2005-08-03T21:00:00Z,-16.5116666666667,63.7856666666667,South,825,NA,NA,Female,pregnant,NA,NA,2005
20260,2005-08-06T06:00:00Z,-22.3656666666667,63.7956666666667,South,740,3691,7.3,Male,NA,115,12.172,2005
20261,2005-08-09T21:00:00Z,-22.6978333333333,64.2926666666667,South,853,NA,24.1,Female,pregnant,32,0.46,2005
20262,2005-08-13T09:00:00Z,-22.995,66.1475,North,762,3528,14.5,Female,anoestrous,44,12.6,2005
20263,2005-08-15T09:00:00Z,-23.7528333333333,65.9466666666667,North,788,NA,17.5,Male,mature,0.5,0.455,2005
20418,2005-07-06T09:00:00Z,-22.5668333333333,64.1803333333333,South,705,2870,15.4,Male,mature,7,1.01,2005
20419,2005-07-13T23:00:00Z,-23.8741666666667,64.97,South,775,5328,13.5,Female,pregnant,8,3.074,2005
20421,2005-07-19T17:00:00Z,-15.8633333333333,64.1285,South,482,NA,3.6,Male,immature,6,1.035,2005
20422,2005-07-21T16:00:00Z,-18.5203333333333,63.3278333333333,South,797,4848,21,Male,mature,100,9.86,2005
20423,2005-07-27T10:00:00Z,-22.946,63.8521666666667,South,740,NA,29.5,Male,mature,24,17.84,2005
20424,2005-07-27T21:00:00Z,-22.98,64.4558333333333,South,870,NA,47.4,Male,mature,100,10.758,2005
20425,2005-07-28T12:00:00Z,-23.5026666666667,64.0651666666667,South,766,4260,19.3,Male,mature,85,5.88,2005
20426,2005-08-02T17:00:00Z,-22.6793333333333,64.5235,South,720,3462,22.1,Male,mature,17,1.758,2005
20427,2005-08-03T15:00:00Z,-23.1401666666667,64.6293333333333,South,566,1663,6.1,Male,mature,28,5.14,2005
20428,2005-08-03T18:00:00Z,-23.5745,64.656,South,704,NA,20.8,Male,mature,11,2.54,2005
20429,2005-08-09T16:00:00Z,-22.8348333333333,64.2091666666667,South,760,NA,33.2,Male,NA,37,12.9662121212121,2005
20430,2005-08-09T22:00:00Z,-22.536,64.2723333333333,South,790,NA,21.6,Male,NA,15,4.41,2005
20431,2005-08-11T20:00:00Z,-23.7485,65.7713333333333,North,820,5620,NA,Female,pregnant,30,11.78,2005
20432,2005-08-14T11:00:00Z,-24.105,65.6025,North,790,NA,38,Male,NA,137,7.868,2005
20922,2006-06-17T20:00:00Z,-23.81,66.4468333333333,North,775,NA,23.5,Male,mature,45,58.1914848484848,2006
20923,2006-08-11T15:00:00Z,-21.5268333333333,65.6856666666667,North,606,NA,6.9,Female,immature,30,9.076,2006
20924,2006-08-09T09:00:00Z,-14.7933333333333,66.1416666666667,North,794,NA,17.8,Female,pregnant,75,5.136,2006
20925,2006-07-26T11:00:00Z,-14.008333333333301,65.7033333333333,North,819,NA,21.1,Female,pregnant,35,7.45,2006
20926,2006-07-20T17:00:00Z,-20.7333333333333,66.553,North,761,NA,12.9,Female,anoestrous,60,12.36,2006
20927,2006-07-19T15:00:00Z,-19.1735,66.3,North,461,NA,3.4,Female,immature,4,2.5,2006
20928,2006-07-18T08:00:00Z,-16.61,66.2883333333333,North,803,NA,25.1,Female,NA,105,9.094,2006
20929,2006-06-27T11:00:00Z,-14.6133333333333,66.2196666666667,North,804,NA,16,Female,anoestrous,106,6.41,2006
20930,2006-06-24T11:00:00Z,-15.8666666666667,66.5468333333333,North,606,NA,7.3,Male,mature,28,27.4229691876751,2006
20931,2006-06-19T16:00:00Z,-20.9,66.205,North,768,NA,25.7,Male,mature,32,5.68,2006
20932,2006-06-23T12:00:00Z,-17.7033333333333,66.5045,North,763,NA,13.8,Female,pregnant,50,3.35,2006
20934,2006-06-22T14:00:00Z,-23.2805,63.742,South,797,NA,18.6,Male,mature,60,25.967,2006
20935,2006-06-24T18:00:00Z,-23.281,63.7361666666667,South,700,NA,17.3,Male,mature,18,13.4075,2006
20936,2006-06-28T13:00:00Z,-22.4905,64.3111666666667,South,750,NA,15.1,Male,mature,26,16.231,2006
20937,2006-07-10T13:00:00Z,-23.6471666666667,64.3173333333333,South,661,NA,11,Male,mature,30,3.84666666666667,2006
20938,2006-07-17T07:00:00Z,-22.455,64.2933333333333,South,706,NA,11.4,Male,pubertal,22,21.603,2006
20939,2006-07-17T17:00:00Z,-23.335,64.3716666666667,South,782,NA,36.3,Male,mature,0,4.98,2006
20940,2006-07-19T06:00:00Z,-23.625,64.6616666666667,South,763,NA,25.3,Male,NA,53,4.36,2006
20941,2006-07-21T11:00:00Z,-24.3833333333333,65.4666666666667,South,805,NA,23.7,Female,pregnant,52,41.078,2006
20944,2006-07-22T13:00:00Z,-24.35,65.8333333333333,North,770,NA,44.1,Male,NA,10,0.33,2006
20945,2006-07-23T15:00:00Z,-24.4,65.8,North,750,NA,11.6,Female,pregnant,38,41.078,2006
20947,2006-07-24T11:00:00Z,-24.6333333333333,64.95,South,802,NA,16.7,Female,pregnant,81,60.9248828828829,2006
20949,2006-08-12T12:00:00Z,-22.7165,64.3155,South,699,NA,9.1,Male,mature,20,16.6021194029851,2006
20950,2006-08-13T10:00:00Z,-22.334,64.2378333333333,South,748,NA,16.9,Male,mature,16,12.0510403120936,2006
20951,2006-08-17T13:00:00Z,-23.2,63.735,South,783,NA,20.8,Male,mature,43,45.2,2006
20952,2006-08-21T12:00:00Z,-22.5283333333333,64.245,South,759,NA,15.8,Male,mature,55,44.892,2006
20953,2006-08-24T21:00:00Z,-22.6133333333333,64.2416666666667,South,706,NA,14.3,Male,immature,45,18.338,2006
20954,2006-08-25T08:00:00Z,-22.5266666666667,64.2533333333333,South,647,NA,17.1,Male,mature,6,6.1,2006
20955,2006-08-25T18:00:00Z,-22.585,64.2266666666667,South,739,NA,14.5,Female,pregnant,25,23.463,2006
20957,2006-06-19T14:00:00Z,-20.6983333333333,66.6766666666667,North,834,NA,43.8,Male,mature,50,2.321,2006
20958,2006-06-22T13:00:00Z,-17.91,66.665,North,603,NA,9.1,Female,immature,14,2.08878787878788,2006
20959,2006-06-23T09:00:00Z,-17.83,66.5066666666667,North,745,NA,17.6,Male,mature,45,4.16059848484848,2006
20960,2006-06-27T21:00:00Z,-15.7166666666667,66.45,North,764,NA,12.8,Female,pregnant,25,3.251,2006
20961,2006-06-29T14:00:00Z,-19.9828333333333,66.1603333333333,North,779,NA,19.5,Female,pregnant,10,1.937,2006
20963,2006-07-05T13:00:00Z,-19.9146666666667,66.3251666666667,North,835,NA,37.5,Female,pregnant,24,2.7,2006
20965,2006-07-03T10:00:00Z,-21.0566666666667,66.7616666666667,North,840,NA,41.7,Female,pregnant,47,18.664,2006
20968,2006-07-11T07:00:00Z,-19.1453333333333,66.323,North,820,NA,23.3,Female,pregnant,0,1.134,2006
20970,2006-07-15T10:00:00Z,-17.29,66.5183333333333,North,781,NA,16.9,Female,anoestrous,2,0.92,2006
20971,2006-07-20T08:00:00Z,-18.4378333333333,67.0251666666667,North,858,NA,25.1,Female,pregnant,34,16.849,2006
20972,2006-07-20T19:00:00Z,-18.3305,67.0318333333333,North,835,NA,23.5,Female,pregnant,25,9.451,2006
20974,2006-07-22T18:00:00Z,-16.5348333333333,66.9168333333333,North,772,NA,15.3,Female,pregnant,20,13.338,2006
20975,2006-07-23T13:00:00Z,-14.2418333333333,65.7123333333333,North,780,NA,13.1,Female,anoestrous,7,0.65,2006
20976,2006-07-26T17:00:00Z,-13.2125,65.886,North,751,NA,30.3,Male,mature,22,10.1912,2006
20977,2006-08-08T18:00:00Z,-13.506,65.3088333333333,North,692,NA,16.7,Male,pubertal,47,14.2066060606061,2006
20978,2006-08-12T18:00:00Z,-22.6033333333333,66.0663333333333,North,857,NA,NA,Male,mature,73,5.2,2006
20979,2006-07-21T07:00:00Z,-16.6935,63.5363333333333,South,732,3216,10.6,Female,pregnant,60,40.3035714285714,2006
20980,2006-07-22T10:00:00Z,-16.5733333333333,63.4738333333333,South,833,NA,21.6,Female,pregnant,98,12,2006
20982,2006-07-22T19:00:00Z,-16.5261666666667,63.7903333333333,South,740,3682,16,Male,mature,0,3.997,2006
20983,2006-07-26T13:00:00Z,-14.262,63.9158333333333,South,750,4350,25.6,Male,mature,85,5.92413793103448,2006
20984,2006-08-02T14:00:00Z,-16.4211666666667,63.775,South,700,NA,17.3,Male,mature,15,9.7,2006
20985,2006-08-02T20:00:00Z,-16.4235,63.7898333333333,South,795,NA,17.8,Male,mature,4,2.102,2006
20986,2006-08-14T10:00:00Z,-22.4933333333333,64.2338333333333,South,730,NA,20.6,Male,NA,25,14.529,2006
20987,2006-08-14T12:00:00Z,-22.484,64.2361666666667,South,836,NA,22.4,Male,mature,68,70.4,2006
20988,2006-08-18T08:00:00Z,-20.56,63.3026666666667,South,789,NA,27.1,Male,mature,50,24.874,2006
20989,2006-08-20T10:00:00Z,-16.76,63.4835,South,740,NA,18.2,Male,mature,45,23.34,2006
20990,2006-08-20T15:00:00Z,-16.37,63.76,South,796,NA,17.7,Female,pregnant,10,4.952,2006
20991,2006-08-24T13:00:00Z,-13.9723333333333,65.6295,North,850,NA,36.6,Female,pregnant,42,18.638,2006
20993,2006-08-24T19:00:00Z,-13.94,65.6433333333333,North,662,NA,8.1,Male,NA,45,12.576,2006
21018,2007-04-27T09:00:00Z,-21.6223333333333,65.6935,North,755,3182,16.1,Female,pregnant,30,24.2051127819549,2007
21020,2007-06-07T13:00:00Z,-14.1133333333333,65.6983333333333,North,715,NA,NA,Female,pregnant,20,1.897,2007
21021,2007-06-07T19:00:00Z,-14.0916666666667,65.7066666666667,North,784,NA,24.3,Female,pregnant,12,0.732,2007
21022,2007-06-19T21:00:00Z,-18.3666666666667,67.04,North,780,NA,19.8,Male,NA,100,68.055,2007
21023,2007-06-14T19:00:00Z,-14.385,66.1593333333333,North,871,NA,29.7,Female,pregnant,65,2.28515151515152,2007
21024,2007-06-12T14:00:00Z,-14.7466666666667,66.2533333333333,North,687,NA,7.3,Female,immature,16,4.731,2007
21025,2007-06-10T09:00:00Z,-13.665,65.855,North,716,NA,8.8,Male,NA,40,35.639,2007
21026,2007-06-09T11:00:00Z,-14.5116666666667,65.7816666666667,North,760,NA,10.2,Female,immature,25,9.672,2007
21027,2007-06-10T16:00:00Z,-22.395,63.6583333333333,South,819,NA,26,Male,mature,30,30.1515151515151,2007
